time,bpm
2022-04-23 14:31:25.676565+00:00,55
2022-04-23 14:31:54.438751+00:00,48
2022-04-23 14:32:24.452209+00:00,47
2022-04-23 14:32:55.775232+00:00,48
2022-04-23 14:33:24.483185+00:00,49
2022-04-23 14:33:55.806439+00:00,48
2022-04-23 14:34:25.867020+00:00,55
2022-04-23 14:34:53.268419+00:00,50
2022-04-23 14:35:23.283561+00:00,48
2022-04-23 14:36:18.857427+00:00,55
2022-04-23 14:36:51.528548+00:00,71
2022-04-23 14:37:21.547422+00:00,48
2022-04-23 14:37:51.554439+00:00,55
2022-04-23 14:38:17.662056+00:00,49
2022-04-23 14:39:17.732064+00:00,55
2022-04-23 14:39:46.449850+00:00,49
2022-04-23 14:40:17.766085+00:00,48
2022-04-23 14:40:36.757562+00:00,52
2022-04-23 14:41:05.452904+00:00,49
2022-04-23 14:41:36.826134+00:00,48
2022-04-23 14:42:57.835091+00:00,52
2022-04-23 14:43:30.456822+00:00,76
2022-04-23 14:44:00.473224+00:00,49
2022-04-23 14:44:19.421991+00:00,52
2022-04-23 14:44:50.734931+00:00,48
2022-04-23 14:45:18.823099+00:00,46
2022-04-23 14:45:48.832017+00:00,50
2022-04-23 14:46:17.572686+00:00,48
2022-04-23 14:46:47.600222+00:00,52
2022-04-23 14:47:17.619643+00:00,55
2022-04-23 14:47:45.746129+00:00,52
2022-04-23 14:48:14.457074+00:00,54
2022-04-23 14:48:32.809663+00:00,52
2022-04-23 14:49:00.254025+00:00,55
2022-04-23 14:49:27.673081+00:00,53
2022-04-23 14:49:57.694962+00:00,55
2022-04-23 14:50:16.631703+00:00,56
2022-04-23 14:50:45.334707+00:00,53
2022-04-23 14:51:14.818004+00:00,54
2022-04-23 14:51:44.830098+00:00,55
2022-04-23 14:52:13.581218+00:00,51
2022-04-23 14:52:36.445052+00:00,76
2022-04-23 14:53:37.822961+00:00,55
2022-04-23 14:54:56.265285+00:00,53
2022-04-23 14:55:27.628932+00:00,55
2022-04-23 14:55:56.333650+00:00,54
2022-04-23 14:56:16.630856+00:00,52
2022-04-23 14:56:45.339309+00:00,56
2022-04-23 14:57:12.743911+00:00,54
2022-04-23 14:57:41.459218+00:00,53
2022-04-23 14:58:10.887310+00:00,54
2022-04-23 14:58:31.814732+00:00,55
2022-04-23 14:59:30.583241+00:00,52
2022-04-23 15:00:00.604448+00:00,55
2022-04-23 15:00:19.590843+00:00,54
2022-04-23 15:00:48.347554+00:00,52
2022-04-23 15:01:15.739990+00:00,53
2022-04-23 15:01:43.830735+00:00,54
2022-04-23 15:02:13.836308+00:00,48
2022-04-23 15:02:31.573714+00:00,54
2022-04-23 15:02:59.742939+00:00,52
2022-04-23 15:03:28.501089+00:00,53
2022-04-23 15:03:58.512098+00:00,55
2022-04-23 15:04:47.473886+00:00,53
2022-04-23 15:05:16.814159+00:00,52
2022-04-23 15:05:46.836241+00:00,55
2022-04-23 15:06:16.217036+00:00,52
2022-04-23 15:06:34.574598+00:00,54
2022-04-23 15:07:03.286721+00:00,55
2022-04-23 15:07:30.731064+00:00,52
2022-04-23 15:07:58.772925+00:00,53
2022-04-23 15:08:44.584559+00:00,54
2022-04-23 15:09:14.597647+00:00,55
2022-04-23 15:09:42.676716+00:00,54
2022-04-23 15:10:28.394657+00:00,53
2022-04-23 15:10:58.409500+00:00,54
2022-04-23 15:11:27.806969+00:00,75
2022-04-23 15:11:55.249846+00:00,58
2022-04-23 15:12:17.525693+00:00,56
2022-04-23 15:12:47.536434+00:00,55
2022-04-23 15:13:16.249882+00:00,54
2022-04-23 15:14:30.734170+00:00,48
2022-04-23 15:14:58.811460+00:00,56
2022-04-23 15:15:26.257158+00:00,54
2022-04-23 15:16:16.650471+00:00,53
2022-04-23 15:16:45.370026+00:00,55
2022-04-23 15:17:12.764293+00:00,56
2022-04-23 15:17:40.263209+00:00,54
2022-04-23 15:18:08.979026+00:00,55
2022-04-23 15:18:26.665772+00:00,54
2022-04-23 15:19:22.824884+00:00,53
2022-04-23 15:19:52.883329+00:00,55
2022-04-23 15:20:19.650637+00:00,48
2022-04-23 15:20:52.331501+00:00,76
2022-04-23 15:21:22.345280+00:00,48
2022-04-23 15:21:53.669106+00:00,55
2022-04-23 15:22:21.745203+00:00,71
2022-04-23 15:22:51.756582+00:00,55
2022-04-23 15:23:23.712141+00:00,76
2022-04-23 15:23:53.725124+00:00,49
2022-04-23 15:24:18.569024+00:00,54
2022-04-23 15:24:47.277303+00:00,56
2022-04-23 15:25:14.681860+00:00,57
2022-04-23 15:25:42.761398+00:00,58
2022-04-23 15:26:10.789390+00:00,68
2022-04-23 15:26:31.722822+00:00,55
2022-04-23 15:27:01.739199+00:00,48
2022-04-23 15:27:34.360987+00:00,76
2022-04-23 15:28:05.718398+00:00,74
2022-04-23 15:28:24.715851+00:00,53
2022-04-23 15:28:54.731555+00:00,55
2022-04-23 15:29:22.852014+00:00,54
2022-04-23 15:29:53.591294+00:00,64
2022-04-23 15:30:21.670667+00:00,94
2022-04-23 15:30:54.296585+00:00,76
2022-04-23 15:30:55.062122+00:00,75
2022-04-23 15:31:22.380780+00:00,60
2022-04-23 15:31:51.848785+00:00,53
2022-04-23 15:32:16.644009+00:00,65
2022-04-23 15:32:48.605311+00:00,64
2022-04-23 15:33:16.626632+00:00,79
2022-04-23 15:33:44.761773+00:00,48
2022-04-23 15:34:12.841956+00:00,57
2022-04-23 15:34:30.520259+00:00,59
2022-04-23 15:34:59.237103+00:00,64
2022-04-23 15:35:31.179778+00:00,55
2022-04-23 15:35:58.593299+00:00,58
2022-04-23 15:36:16.274717+00:00,67
2022-04-23 15:36:46.336859+00:00,55
2022-04-23 15:37:13.783013+00:00,58
2022-04-23 15:37:43.796526+00:00,64
2022-04-23 15:38:13.819371+00:00,55
2022-04-23 15:38:31.508088+00:00,76
2022-04-23 15:38:59.661124+00:00,59
2022-04-23 15:39:27.751954+00:00,58
2022-04-23 15:40:16.758134+00:00,67
2022-04-23 15:40:46.777858+00:00,55
2022-04-23 15:41:16.788401+00:00,64
2022-04-23 15:41:49.415709+00:00,81
2022-04-23 15:42:19.429843+00:00,79
2022-04-23 15:42:49.443227+00:00,76
2022-04-23 15:43:22.701391+00:00,71
2022-04-23 15:43:50.820736+00:00,60
2022-04-23 15:44:23.451237+00:00,81
2022-04-23 15:44:56.706998+00:00,76
2022-04-23 15:45:26.719869+00:00,55
2022-04-23 15:45:56.736102+00:00,76
2022-04-23 15:46:24.816940+00:00,55
2022-04-23 15:47:22.277597+00:00,56
2022-04-23 15:47:51.661051+00:00,55
2022-04-23 15:48:20.416163+00:00,57
2022-04-23 15:48:49.769664+00:00,55
2022-04-23 15:51:04.269395+00:00,54
2022-04-23 15:51:31.670850+00:00,53
2022-04-23 15:52:01.689974+00:00,54
2022-04-23 15:52:31.702923+00:00,55
2022-04-23 15:54:00.489790+00:00,54
2022-04-23 15:54:58.587545+00:00,55
2022-04-23 15:55:26.668065+00:00,56
2022-04-23 15:55:54.740263+00:00,64
2022-04-23 15:56:17.643260+00:00,55
2022-04-23 15:56:47.669608+00:00,76
2022-04-23 15:57:17.679264+00:00,50
2022-04-23 15:57:46.393474+00:00,61
2022-04-23 15:58:16.410027+00:00,55
2022-04-23 15:58:37.333075+00:00,48
2022-04-23 15:59:07.438446+00:00,55
2022-04-23 15:59:35.562957+00:00,61
2022-04-23 16:00:04.266871+00:00,57
2022-04-23 16:00:25.827452+00:00,55
2022-04-23 16:00:53.230196+00:00,56
2022-04-23 16:01:22.614951+00:00,55
2022-04-23 16:02:17.426654+00:00,56
2022-04-23 16:02:45.504579+00:00,58
2022-04-23 16:03:16.832442+00:00,55
2022-04-23 16:03:44.232515+00:00,54
2022-04-23 16:04:14.249692+00:00,55
2022-04-23 16:04:32.601830+00:00,53
2022-04-23 16:05:00.687978+00:00,56
2022-04-23 16:05:29.401145+00:00,53
2022-04-23 16:05:58.782127+00:00,55
2022-04-23 16:06:21.689191+00:00,75
2022-04-23 16:06:51.794004+00:00,48
2022-04-23 16:07:49.217760+00:00,53
2022-04-23 16:08:16.664960+00:00,55
2022-04-23 16:08:45.377042+00:00,64
2022-04-23 16:09:18.674933+00:00,76
2022-04-23 16:09:48.743840+00:00,55
2022-04-23 16:11:50.821984+00:00,71
2022-04-23 16:12:17.593000+00:00,55
2022-04-23 16:13:16.996750+00:00,57
2022-04-23 16:13:45.706454+00:00,55
2022-04-23 16:14:34.679131+00:00,53
2022-04-23 16:15:03.380251+00:00,49
